Time - RF	Amplitude - RF	Time - CRF	Amplitude - CRF	
0	8	0	7	
1	8	1	6	
2	8	2	6	
3	7	3	6	
4	7	4	6	
5	7	5	6	
6	7	6	5	
7	6	7	5	
8	6	8	5	
9	6	9	5	
10	6	10	5	
11	5	11	5	
12	5	12	5	
13	5	13	5	
14	5	14	4	
15	4	15	4	
16	4	16	4	
17	4	17	4	
18	4	18	4	
19	3	19	4	
20	3	20	4	
21	3	21	4	
22	3	22	4	
23	3	23	4	
24	2	24	4	
25	2	25	4	
26	2	26	3	
27	2	27	3	
28	2	28	3	
29	2	29	3	
30	1	30	2	
31	1	31	2	
32	1	32	2	
33	1	33	2	
34	1	34	1	
35	1	35	1	
36	0	36	1	
37	0	37	1	
38	0	38	0	
39	0	39	0	
40	-1	40	0	
41	-1	41	0	
42	-1	42	-1	
43	-1	43	-1	
44	-1	44	-1	
45	-2	45	-1	
46	-2	46	-2	
47	-2	47	-2	
48	-2	48	-2	
49	-3	49	-2	
50	-3	50	-2	
51	-3	51	-3	
52	-4	52	-3	
53	-4	53	-3	
54	-4	54	-4	
55	-4	55	-4	
56	-4	56	-4	
57	-5	57	-4	
58	-5	58	-4	
59	-5	59	-5	
60	-5	60	-5	
61	-6	61	-5	
62	-6	62	-5	
63	-6	63	-6	
64	-6	64	-6	
65	-6	65	-6	
66	-6	66	-6	
67	-6	67	-6	
68	-7	68	-6	
69	-7	69	-7	
70	-7	70	-7	
71	-7	71	-7	
72	-7	72	-7	
73	-7	73	-7	
74	-8	74	-7	
75	-8	75	-7	
76	-8	76	-8	
77	-8	77	-8	
78	-9	78	-8	
79	-9	79	-8	
80	-9	80	-8	
81	-9	81	-8	
82	-10	82	-9	
83	-10	83	-9	
84	-10	84	-9	
85	-10	85	-9	
86	-11	86	-9	
87	-11	87	-9	
88	-11	88	-10	
89	-11	89	-10	
90	-12	90	-10	
91	-12	91	-10	
92	-12	92	-10	
93	-12	93	-10	
94	-13	94	-11	
95	-13	95	-11	
96	-13	96	-11	
97	-13	97	-11	
98	-13	98	-11	
99	-14	99	-11	
100	-14	100	-11	
101	-14	101	-12	
102	-15	102	-12	
103	-15	103	-12	
104	-15	104	-12	
105	-15	105	-12	
106	-15	106	-12	
107	-16	107	-12	
108	-16	108	-12	
109	-16	109	-12	
110	-16	110	-12	
111	-17	111	-12	
112	-17	112	-12	
113	-17	113	-13	
114	-17	114	-13	
115	-17	115	-13	
116	-17	116	-13	
117	-18	117	-13	
118	-18	118	-13	
119	-18	119	-14	
120	-18	120	-14	
121	-18	121	-14	
122	-18	122	-14	
123	-18	123	-14	
124	-19	124	-14	
125	-19	125	-14	
126	-19	126	-15	
127	-19	127	-15	
128	-19	128	-15	
129	-19	129	-15	
130	-20	130	-15	
131	-20	131	-15	
132	-20	132	-15	
133	-20	133	-15	
134	-20	134	-15	
135	-20	135	-15	
136	-21	136	-15	
137	-21	137	-15	
138	-21	138	-15	
139	-21	139	-16	
140	-21	140	-16	
141	-21	141	-16	
142	-21	142	-16	
143	-22	143	-16	
144	-22	144	-16	
145	-22	145	-16	
146	-22	146	-16	
147	-22	147	-16	
148	-22	148	-16	
149	-23	149	-16	
150	-23	150	-16	
151	-23	151	-17	
152	-23	152	-17	
153	-23	153	-17	
154	-23	154	-17	
155	-24	155	-17	
156	-24	156	-17	
157	-24	157	-18	
158	-24	158	-18	
159	-24	159	-18	
160	-24	160	-18	
161	-25	161	-18	
162	-25	162	-18	
163	-25	163	-19	
164	-25	164	-19	
165	-25	165	-19	
166	-25	166	-19	
167	-25	167	-19	
168	-26	168	-19	
169	-26	169	-20	
170	-26	170	-20	
171	-26	171	-20	
172	-26	172	-20	
173	-26	173	-20	
174	-27	174	-20	
175	-27	175	-20	
176	-27	176	-21	
177	-27	177	-21	
178	-27	178	-21	
179	-27	179	-21	
180	-28	180	-21	
181	-28	181	-21	
182	-28	182	-21	
183	-28	183	-21	
184	-28	184	-21	
185	-28	185	-21	
186	-28	186	-21	
187	-29	187	-21	
188	-29	188	-21	
189	-29	189	-22	
190	-29	190	-22	
191	-29	191	-22	
192	-29	192	-22	
193	-29	193	-22	
194	-29	194	-22	
195	-29	195	-22	
196	-29	196	-22	
197	-29	197	-22	
198	-29	198	-22	
199	-30	199	-22	
200	-30	200	-22	
201	-30	201	-23	
202	-30	202	-23	
203	-30	203	-23	
204	-30	204	-23	
205	-31	205	-23	
206	-31	206	-23	
207	-31	207	-24	
208	-31	208	-24	
209	-31	209	-24	
