Time - RF	Amplitude - RF	Time - CRF	Amplitude - CRF	
0	11	0	3	
1	11	1	3	
2	11	2	3	
3	11	3	3	
4	10	4	3	
5	10	5	3	
6	10	6	2	
7	10	7	2	
8	9	8	2	
9	9	9	2	
10	9	10	2	
11	9	11	2	
12	8	12	1	
13	8	13	1	
14	8	14	1	
15	8	15	1	
16	7	16	1	
17	7	17	1	
18	7	18	1	
19	7	19	0	
20	7	20	0	
21	6	21	0	
22	6	22	0	
23	6	23	0	
24	5	24	0	
25	5	25	0	
26	5	26	0	
27	5	27	0	
28	4	28	0	
29	4	29	0	
30	4	30	0	
31	3	31	-1	
32	3	32	-1	
33	3	33	-1	
34	2	34	-1	
35	2	35	-2	
36	2	36	-2	
37	1	37	-2	
38	1	38	-2	
39	1	39	-3	
40	1	40	-3	
41	0	41	-3	
42	0	42	-3	
43	0	43	-4	
44	0	44	-4	
45	-1	45	-4	
46	-1	46	-4	
47	-1	47	-4	
48	-1	48	-5	
49	-1	49	-5	
50	-2	50	-5	
51	-2	51	-5	
52	-2	52	-5	
53	-2	53	-5	
54	-2	54	-5	
55	-2	55	-5	
56	-3	56	-5	
57	-3	57	-5	
58	-3	58	-5	
59	-3	59	-5	
60	-3	60	-5	
61	-3	61	-5	
62	-4	62	-5	
63	-4	63	-5	
64	-4	64	-5	
65	-4	65	-5	
66	-5	66	-5	
67	-5	67	-5	
68	-5	68	-5	
69	-5	69	-5	
70	-5	70	-6	
71	-6	71	-6	
72	-6	72	-6	
73	-6	73	-6	
74	-7	74	-6	
75	-7	75	-6	
76	-7	76	-6	
77	-7	77	-6	
78	-8	78	-6	
79	-8	79	-6	
80	-8	80	-6	
81	-8	81	-7	
82	-9	82	-7	
83	-9	83	-7	
84	-9	84	-7	
85	-9	85	-7	
86	-9	86	-7	
87	-9	87	-8	
88	-10	88	-8	
89	-10	89	-8	
90	-10	90	-8	
91	-10	91	-8	
92	-10	92	-8	
93	-10	93	-9	
94	-10	94	-9	
95	-10	95	-9	
96	-10	96	-9	
97	-10	97	-9	
98	-10	98	-9	
99	-10	99	-10	
100	-11	100	-10	
101	-11	101	-10	
102	-11	102	-10	
103	-11	103	-10	
104	-12	104	-10	
105	-12	105	-10	
106	-12	106	-10	
107	-12	107	-10	
108	-13	108	-10	
109	-13	109	-10	
110	-13	110	-10	
111	-13	111	-10	
112	-14	112	-10	
113	-14	113	-10	
114	-14	114	-10	
115	-14	115	-10	
116	-15	116	-10	
117	-15	117	-10	
118	-15	118	-10	
119	-15	119	-11	
120	-16	120	-11	
121	-16	121	-11	
122	-16	122	-11	
123	-16	123	-11	
124	-16	124	-11	
125	-17	125	-12	
126	-17	126	-12	
127	-17	127	-12	
128	-17	128	-12	
129	-17	129	-12	
130	-17	130	-12	
131	-18	131	-13	
132	-18	132	-13	
133	-18	133	-13	
134	-18	134	-13	
135	-18	135	-13	
136	-18	136	-13	
137	-19	137	-14	
138	-19	138	-14	
139	-19	139	-14	
140	-19	140	-14	
141	-20	141	-14	
142	-20	142	-14	
143	-20	143	-14	
144	-20	144	-15	
145	-21	145	-15	
146	-21	146	-15	
147	-21	147	-15	
148	-21	148	-15	
149	-21	149	-15	
150	-22	150	-15	
151	-22	151	-15	
152	-22	152	-15	
153	-22	153	-15	
154	-22	154	-15	
155	-22	155	-15	
156	-23	156	-16	
157	-23	157	-16	
158	-23	158	-16	
159	-23	159	-16	
160	-23	160	-16	
161	-23	161	-16	
162	-24	162	-17	
163	-24	163	-17	
164	-24	164	-17	
165	-24	165	-17	
166	-24	166	-17	
167	-24	167	-17	
168	-24	168	-17	
169	-25	169	-18	
170	-25	170	-18	
171	-25	171	-18	
172	-25	172	-18	
173	-25	173	-18	
174	-25	174	-18	
175	-26	175	-18	
176	-26	176	-18	
177	-26	177	-18	
178	-26	178	-18	
179	-26	179	-18	
180	-26	180	-18	
181	-27	181	-19	
182	-27	182	-19	
183	-27	183	-19	
184	-27	184	-19	
185	-27	185	-19	
186	-27	186	-19	
187	-28	187	-19	
188	-28	188	-19	
189	-28	189	-19	
190	-28	190	-19	
191	-28	191	-19	
192	-28	192	-19	
193	-29	193	-19	
194	-29	194	-19	
195	-29	195	-19	
196	-29	196	-19	
197	-29	197	-19	
198	-29	198	-19	
199	-29	199	-19	
200	-30	200	-19	
201	-30	201	-19	
202	-30	202	-19	
203	-30	203	-19	
204	-30	204	-19	
205	-30	205	-19	
206	-30	206	-19	
207	-30	207	-20	
208	-30	208	-20	
209	-30	209	-20	
210	-30	210	-20	
211	-30	211	-20	
212	-31	212	-20	
213	-31	213	-20	
214	-31	214	-20	
215	-31	215	-20	
216	-31	216	-20	
217	-31	217	-20	
218	-32	218	-20	
219	-32	219	-20	
220	-32	220	-20	
