Time - RF	Amplitude - RF	Time - CRF	Amplitude - CRF	
0	10	0	-1	
1	9	1	-1	
2	9	2	-1	
3	9	3	-1	
4	9	4	-1	
5	9	5	-1	
6	9	6	-1	
7	8	7	-1	
8	8	8	-1	
9	8	9	-1	
10	8	10	-1	
11	7	11	-1	
12	7	12	-1	
13	7	13	-1	
14	7	14	-1	
15	6	15	-1	
16	6	16	-1	
17	6	17	-1	
18	6	18	-1	
19	5	19	-1	
20	5	20	-1	
21	5	21	-1	
22	5	22	-1	
23	4	23	-1	
24	4	24	-1	
25	4	25	-1	
26	4	26	-2	
27	3	27	-2	
28	3	28	-2	
29	3	29	-2	
30	3	30	-2	
31	3	31	-2	
32	2	32	-3	
33	2	33	-3	
34	2	34	-3	
35	2	35	-3	
36	1	36	-3	
37	1	37	-3	
38	1	38	-3	
39	1	39	-3	
40	0	40	-4	
41	0	41	-4	
42	0	42	-4	
43	0	43	-4	
44	-1	44	-4	
45	-1	45	-4	
46	-1	46	-4	
47	-1	47	-4	
48	-2	48	-3	
49	-2	49	-3	
50	-2	50	-3	
51	-2	51	-3	
52	-3	52	-3	
53	-3	53	-3	
54	-3	54	-3	
55	-3	55	-3	
56	-3	56	-3	
57	-4	57	-3	
58	-4	58	-3	
59	-4	59	-3	
60	-5	60	-2	
61	-5	61	-2	
62	-5	62	-2	
63	-5	63	-2	
64	-5	64	-2	
65	-6	65	-3	
66	-6	66	-3	
67	-6	67	-3	
68	-6	68	-3	
69	-7	69	-3	
70	-7	70	-3	
71	-7	71	-3	
72	-7	72	-3	
73	-7	73	-3	
74	-7	74	-3	
75	-7	75	-3	
76	-8	76	-3	
77	-8	77	-3	
78	-8	78	-3	
79	-8	79	-3	
80	-8	80	-3	
81	-9	81	-3	
82	-9	82	-3	
83	-9	83	-3	
84	-9	84	-3	
85	-10	85	-3	
86	-10	86	-3	
87	-10	87	-3	
88	-11	88	-3	
89	-11	89	-4	
90	-11	90	-4	
91	-12	91	-4	
92	-12	92	-4	
93	-12	93	-4	
94	-13	94	-4	
95	-13	95	-4	
96	-13	96	-4	
97	-13	97	-4	
98	-13	98	-4	
99	-14	99	-4	
100	-14	100	-4	
101	-14	101	-4	
102	-14	102	-5	
103	-14	103	-5	
104	-14	104	-5	
105	-14	105	-5	
106	-14	106	-5	
107	-15	107	-5	
108	-15	108	-5	
109	-15	109	-5	
110	-15	110	-4	
111	-15	111	-4	
112	-15	112	-4	
113	-15	113	-4	
114	-15	114	-4	
115	-15	115	-4	
116	-15	116	-4	
117	-15	117	-4	
118	-15	118	-3	
119	-15	119	-3	
120	-16	120	-3	
121	-16	121	-3	
122	-16	122	-3	
123	-16	123	-3	
124	-16	124	-2	
125	-16	125	-2	
126	-17	126	-2	
127	-17	127	-2	
128	-17	128	-2	
129	-17	129	-2	
130	-17	130	-2	
131	-17	131	-2	
132	-18	132	-2	
133	-18	133	-2	
134	-18	134	-2	
135	-19	135	-2	
136	-19	136	-2	
137	-19	137	-2	
138	-19	138	-2	
139	-19	139	-3	
140	-20	140	-3	
141	-20	141	-3	
142	-20	142	-3	
143	-20	143	-3	
144	-20	144	-3	
145	-21	145	-3	
146	-21	146	-3	
147	-21	147	-3	
148	-21	148	-3	
149	-21	149	-3	
150	-21	150	-3	
151	-21	151	-3	
152	-21	152	-3	
153	-21	153	-3	
154	-21	154	-4	
155	-21	155	-4	
156	-21	156	-4	
157	-22	157	-4	
158	-22	158	-3	
159	-22	159	-3	
160	-22	160	-3	
161	-22	161	-3	
162	-22	162	-3	
163	-22	163	-3	
164	-23	164	-3	
165	-23	165	-3	
166	-23	166	-3	
167	-23	167	-3	
168	-23	168	-3	
169	-24	169	-3	
170	-24	170	-3	
171	-24	171	-3	
172	-24	172	-3	
173	-25	173	-2	
174	-25	174	-2	
175	-25	175	-2	
176	-25	176	-2	
177	-26	177	-3	
178	-26	178	-3	
179	-26	179	-3	
180	-26	180	-3	
181	-26	181	-3	
182	-27	182	-3	
183	-27	183	-3	
184	-27	184	-3	
185	-27	185	-3	
186	-27	186	-3	
187	-27	187	-3	
188	-27	188	-3	
189	-27	189	-3	
190	-27	190	-3	
191	-27	191	-3	
192	-27	192	-3	
193	-27	193	-3	
194	-27	194	-3	
195	-27	195	-3	
196	-27	196	-3	
197	-27	197	-3	
198	-27	198	-2	
199	-27	199	-2	
200	-27	200	-2	
201	-27	201	-2	
202	-27	202	-2	
203	-27	203	-2	
204	-27	204	-2	
205	-27	205	-2	
206	-27	206	-2	
207	-28	207	-2	
208	-28	208	-2	
209	-28	209	-2	
210	-28	210	-2	
211	-28	211	-2	
212	-28	212	-2	
213	-28	213	-2	
214	-29	214	-2	
215	-29	215	-2	
216	-29	216	-2	
217	-29	217	-2	
218	-29	218	-2	
219	-30	219	-2	
220	-30	220	-2	
221	-30	221	-2	
222	-30	222	-2	
223	-30	223	-2	
224	-30	224	-2	
225	-31	225	-2	
226	-31	226	-2	
227	-31	227	-2	
228	-31	228	-2	
229	-31	229	-2	
230	-31	230	-2	
231	-31	231	-2	
232	-31	232	-2	
233	-31	233	-2	
234	-31	234	-2	
235	-31	235	-1	
236	-31	236	-1	
237	-31	237	-1	
238	-31	238	-1	
239	-31	239	-1	
240	-31	240	-2	
241	-31	241	-2	
242	-31	242	-2	
243	-31	243	-2	
244	-31	244	-2	
245	-31	245	-2	
246	-32	246	-2	
247	-32	247	-2	
248	-32	248	-2	
249	-32	249	-2	
250	-32	250	-2	
251	-32	251	-2	
252	-32	252	-2	
253	-32	253	-2	
254	-32	254	-2	
255	-32	255	-2	
256	-32	256	-2	
257	-33	257	-2	
258	-33	258	-2	
259	-33	259	-2	
260	-33	260	-2	
261	-33	261	-1	
262	-33	262	-1	
263	-33	263	-1	
264	-33	264	-1	
265	-33	265	-1	
266	-33	266	-1	
267	-33	267	-1	
268	-33	268	-1	
269	-33	269	-1	
270	-33	270	-1	
271	-33	271	-1	
272	-33	272	-1	
273	-33	273	-1	
274	-33	274	-1	
275	-33	275	-1	
276	-33	276	-1	
277	-33	277	-2	
278	-33	278	-2	
279	-33	279	-2	
280	-33	280	-2	
281	-33	281	-2	
282	-33	282	-2	
283	-33	283	-2	
284	-33	284	-2	
285	-33	285	-2	
286	-33	286	-2	
287	-33	287	-2	
288	-33	288	-2	
289	-33	289	-2	
290	-33	290	-2	
291	-33	291	-2	
292	-33	292	-3	
293	-33	293	-3	
294	-33	294	-3	
295	-33	295	-3	
296	-33	296	-2	
297	-33	297	-2	
298	-33	298	-2	
299	-33	299	-2	
300	-33	300	-2	
301	-33	301	-2	
302	-33	302	-2	
303	-33	303	-2	
304	-33	304	-2	
305	-32	305	-2	
306	-32	306	-2	
307	-32	307	-2	
308	-32	308	-2	
309	-32	309	-2	
310	-32	310	-2	
311	-32	311	-1	
312	-32	312	-1	
313	-32	313	-1	
314	-32	314	-1	
315	-32	315	-1	
316	-32	316	-1	
317	-31	317	-1	
318	-31	318	-1	
319	-31	319	-1	
320	-31	320	-1	
321	-31	321	-1	
322	-31	322	0	
323	-31	323	0	
324	-31	324	0	
325	-31	325	0	
326	-31	326	0	
327	-31	327	-1	
328	-31	328	-1	
329	-30	329	-1	
330	-30	330	-1	
331	-30	331	-1	
332	-30	332	-1	
333	-30	333	-1	
334	-30	334	-1	
335	-30	335	-1	
336	-30	336	-1	
337	-30	337	-1	
338	-30	338	-1	
339	-30	339	-1	
340	-30	340	-1	
341	-29	341	-1	
342	-29	342	-1	
343	-29	343	-1	
344	-29	344	-1	
345	-29	345	-1	
346	-29	346	-1	
347	-29	347	-1	
348	-30	348	-1	
349	-30	349	0	
350	-30	350	0	
351	-30	351	0	
352	-29	352	0	
353	-29	353	0	
354	-29	354	0	
355	-29	355	0	
356	-29	356	0	
357	-29	357	0	
358	-29	358	0	
359	-29	359	0	
360	-28	360	0	
361	-28	361	1	
362	-28	362	1	
363	-28	363	1	
364	-27	364	1	
365	-27	365	1	
366	-27	366	1	
367	-27	367	1	
368	-26	368	2	
369	-26	369	2	
370	-26	370	2	
371	-26	371	2	
372	-26	372	2	
373	-26	373	2	
374	-25	374	3	
375	-25	375	3	
376	-25	376	3	
377	-25	377	3	
378	-25	378	3	
379	-25	379	3	
380	-24	380	3	
381	-24	381	3	
382	-24	382	3	
383	-24	383	3	
384	-24	384	3	
385	-24	385	3	
386	-23	386	3	
387	-23	387	3	
388	-23	388	3	
389	-23	389	3	
390	-23	390	3	
391	-23	391	3	
392	-23	392	3	
393	-22	393	3	
394	-22	394	3	
395	-22	395	3	
396	-22	396	3	
397	-22	397	3	
398	-22	398	4	
399	-21	399	4	
400	-21	400	4	
401	-21	401	4	
402	-21	402	4	
403	-21	403	4	
404	-21	404	4	
405	-20	405	4	
406	-20	406	4	
407	-20	407	4	
408	-20	408	4	
409	-20	409	4	
410	-20	410	4	
411	-20	411	4	
412	-19	412	4	
413	-19	413	4	
414	-19	414	4	
415	-19	415	4	
416	-19	416	4	
417	-19	417	4	
418	-18	418	4	
419	-18	419	4	
420	-18	420	4	
421	-18	421	4	
422	-17	422	4	
423	-17	423	4	
424	-17	424	4	
425	-17	425	4	
426	-16	426	4	
427	-16	427	4	
428	-16	428	4	
429	-16	429	4	
430	-15	430	4	
431	-15	431	4	
432	-15	432	4	
433	-15	433	4	
434	-15	434	4	
435	-15	435	5	
436	-14	436	5	
437	-14	437	5	
438	-14	438	5	
439	-14	439	5	
440	-14	440	4	
441	-14	441	4	
442	-14	442	4	
443	-13	443	4	
444	-13	444	4	
445	-13	445	4	
446	-13	446	4	
447	-13	447	4	
448	-13	448	4	
449	-12	449	4	
450	-12	450	4	
451	-12	451	4	
452	-12	452	4	
453	-12	453	4	
454	-12	454	4	
455	-11	455	4	
456	-11	456	4	
457	-11	457	4	
458	-11	458	4	
459	-11	459	4	
460	-10	460	4	
461	-10	461	4	
462	-10	462	4	
463	-10	463	4	
464	-9	464	4	
465	-9	465	4	
466	-9	466	4	
467	-9	467	4	
468	-8	468	4	
469	-8	469	4	
470	-8	470	4	
471	-8	471	4	
472	-7	472	4	
473	-7	473	4	
474	-7	474	4	
475	-7	475	4	
476	-6	476	4	
477	-6	477	4	
478	-6	478	4	
479	-6	479	4	
480	-5	480	4	
481	-5	481	4	
482	-5	482	4	
483	-5	483	4	
484	-5	484	4	
485	-5	485	4	
486	-4	486	5	
487	-4	487	5	
488	-4	488	5	
489	-4	489	5	
490	-4	490	5	
491	-4	491	5	
492	-4	492	5	
493	-3	493	5	
494	-3	494	5	
495	-3	495	5	
496	-3	496	5	
497	-3	497	5	
498	-3	498	5	
499	-2	499	5	
500	-2	500	5	
