Time - RF	Amplitude - RF	Time - CRF	Amplitude - CRF	
0	8	0	7	
1	8	1	7	
2	8	2	7	
3	8	3	6	
4	8	4	6	
5	7	5	6	
6	7	6	6	
7	7	7	6	
8	6	8	6	
9	6	9	5	
10	6	10	5	
11	5	11	5	
12	5	12	5	
13	5	13	5	
14	4	14	5	
15	4	15	4	
16	4	16	4	
17	3	17	4	
18	3	18	4	
19	3	19	4	
20	3	20	4	
21	2	21	4	
22	2	22	3	
23	2	23	3	
24	2	24	3	
25	2	25	3	
26	2	26	3	
27	1	27	3	
28	1	28	2	
29	1	29	2	
30	1	30	2	
31	1	31	2	
32	1	32	1	
33	1	33	1	
34	0	34	1	
35	0	35	1	
36	0	36	0	
37	0	37	0	
38	-1	38	0	
39	-1	39	0	
40	-1	40	-1	
41	-1	41	-1	
42	-2	42	-1	
43	-2	43	-1	
44	-2	44	-2	
45	-2	45	-2	
46	-3	46	-2	
47	-3	47	-2	
48	-3	48	-3	
49	-3	49	-3	
50	-3	50	-3	
51	-3	51	-3	
52	-3	52	-3	
53	-4	53	-4	
54	-4	54	-4	
55	-4	55	-4	
56	-4	56	-5	
57	-4	57	-5	
58	-5	58	-5	
59	-5	59	-5	
60	-5	60	-5	
61	-6	61	-6	
62	-6	62	-6	
63	-6	63	-6	
64	-7	64	-6	
65	-7	65	-7	
66	-7	66	-7	
67	-8	67	-7	
68	-8	68	-7	
69	-8	69	-7	
70	-8	70	-7	
71	-9	71	-8	
72	-9	72	-8	
73	-9	73	-8	
74	-9	74	-8	
75	-9	75	-8	
76	-9	76	-8	
77	-9	77	-8	
78	-9	78	-9	
79	-9	79	-9	
80	-9	80	-9	
81	-9	81	-9	
82	-9	82	-9	
83	-9	83	-9	
84	-10	84	-10	
85	-10	85	-10	
86	-10	86	-10	
87	-10	87	-10	
88	-10	88	-10	
89	-11	89	-10	
90	-11	90	-10	
91	-11	91	-11	
92	-12	92	-11	
93	-12	93	-11	
94	-12	94	-11	
95	-12	95	-11	
96	-13	96	-11	
97	-13	97	-11	
98	-13	98	-11	
99	-14	99	-11	
100	-14	100	-11	
101	-14	101	-11	
102	-15	102	-11	
103	-15	103	-12	
104	-15	104	-12	
105	-16	105	-12	
106	-16	106	-12	
107	-16	107	-12	
108	-16	108	-12	
109	-17	109	-13	
110	-17	110	-13	
111	-17	111	-13	
112	-17	112	-13	
113	-17	113	-13	
114	-18	114	-13	
115	-18	115	-14	
116	-18	116	-14	
117	-18	117	-14	
118	-18	118	-14	
119	-18	119	-14	
120	-18	120	-14	
121	-18	121	-15	
122	-19	122	-15	
123	-19	123	-15	
124	-19	124	-15	
125	-19	125	-15	
126	-19	126	-15	
127	-19	127	-15	
128	-19	128	-16	
129	-19	129	-16	
130	-19	130	-16	
131	-19	131	-16	
132	-19	132	-16	
133	-19	133	-16	
134	-20	134	-16	
135	-20	135	-16	
136	-20	136	-16	
137	-20	137	-16	
138	-20	138	-16	
139	-20	139	-16	
140	-20	140	-17	
141	-21	141	-17	
142	-21	142	-17	
143	-21	143	-17	
144	-21	144	-17	
145	-21	145	-17	
146	-22	146	-18	
147	-22	147	-18	
148	-22	148	-18	
149	-22	149	-18	
150	-23	150	-18	
151	-23	151	-18	
152	-23	152	-18	
153	-23	153	-19	
154	-24	154	-19	
155	-24	155	-19	
156	-24	156	-19	
157	-24	157	-19	
158	-24	158	-19	
159	-25	159	-19	
160	-25	160	-19	
161	-25	161	-19	
162	-25	162	-19	
163	-25	163	-19	
164	-25	164	-19	
165	-25	165	-20	
166	-25	166	-20	
167	-25	167	-20	
